Obj1,Obj2,Obj3,Obj4,Obj5,Obj6,Obj7,Obj8,Obj9,Obj10,Obj11,Obj12,Obj13,Obj14,Obj15,Obj16,Obj17,Obj18,Obj19,Obj20
6.9338e-52,9.6369e-52,1.2025e-50,4.1831e-50,1.2677e-50,3.0067e-50,5.2174e-52,3.7057e-50,1.0776e-33,0,1.7599e-17,2.5631e-20,2.0812e-17,2.505e-18,1.4184e-20,2.0761e-20,0.44703,0.89464,2.2174e-05,1.0381e-05
3.6615e-21,3.8701e-21,4.6212e-20,1.6938e-19,2.9839e-18,3.5217e-17,1.7983e-17,2.3362e-19,4.3257e-20,4.9079e-19,5.3614e-18,0,1.2335e-20,3.7903e-17,6.8741e-24,4.975e-20,0.9008,8.0565e-06,7.6009e-09,0.43723
7.5488e-37,5.8975e-37,1.9577e-36,4.916e-36,8.7989e-20,2.3095e-20,0,2.5595e-18,3.8245e-17,0,0,4.3924e-21,3.8325e-17,8.0959e-18,1.6131e-20,1.6347e-21,0.8951,2.786e-05,0.44835,1.0632e-06
1.6454e-69,1.8326e-69,4.0686e-53,1.386e-53,1.6831e-52,2.4394e-50,2.1116e-49,3.4725e-33,5.6724e-17,3.1099e-18,1.1406e-18,3.0655e-28,2.9731e-23,0,5.066e-19,1.076e-23,0.92804,0.37253,0,0.00019222
3.3569e-20,4.0785e-20,1.2071e-19,4.272e-19,3.6352e-18,3.2997e-18,2.3152e-18,4.4209e-18,1.9862e-17,4.6166e-17,2.5594e-18,2.0258e-17,1.5363e-17,1.892e-17,1.1034e-17,6.415e-18,1,0,9.7779e-07,0
5.9912e-53,6.6581e-53,2.3607e-52,8.2778e-52,5.4576e-50,7.9055e-51,1.9045e-51,4.3815e-50,1.5071e-50,1.1784e-33,3.1766e-35,1.9253e-17,4.9388e-22,1.9555e-17,0,0.44818,2.8754e-05,2.6388e-09,5.1532e-06,0.89402
6.0699e-38,5.7062e-38,1.6093e-37,1.6301e-37,5.7787e-35,9.1979e-37,9.449e-37,9.4593e-19,2.5718e-17,1.1115e-18,0,0,1.6372e-26,2.4207e-17,0,0.57732,1.3238e-06,9.422e-08,0.57736,0.57735
3.1404e-55,2.5328e-55,6.0227e-54,2.2152e-53,6.6751e-53,9.1548e-54,8.4142e-53,1.8019e-36,0,0,0,0,1.68e-33,2.7435e-17,0,0.44809,1.4316e-05,0,0.89534,0
4.1021e-19,4.6958e-19,2.0056e-18,8.8278e-18,1.7137e-17,1.3774e-17,2.3544e-18,6.348e-19,1.3864e-18,0,1.5004e-18,4.8928e-20,2.5909e-17,0,0,0.57735,0,0.5773,9.2618e-07,0.57739
2.4904e-36,4.1133e-36,5.957e-36,2.4584e-35,4.6242e-35,8.6572e-19,2.7167e-19,2.1486e-19,3.5318e-17,4.1241e-19,1.1749e-18,6.2549e-21,1.9635e-23,2.4347e-22,0,0.57736,3.7748e-08,0.57733,0.57735,9.2212e-07
2.1234e-20,2.749e-20,8.1795e-20,3.0079e-19,3.9094e-20,7.4557e-22,2.7561e-20,0,1.1073e-20,1.164e-17,2.4441e-17,7.3029e-20,3.2932e-18,0,6.4689e-20,0.44541,9.3541e-13,0.89536,0,1.2578e-09
2.3941e-23,2.2174e-23,9.8338e-23,1.4526e-19,6.6373e-18,9.0992e-21,4.4417e-19,1.0471e-20,6.6248e-18,2.1415e-17,2.6484e-17,0,4.4726e-22,1.1429e-18,1.9308e-20,0.57733,0.57734,0,0,0.57739
1.4748e-38,1.5307e-38,3.7161e-38,1.6083e-37,1.7217e-36,8.065e-35,5.6344e-36,1.1231e-39,2.9818e-36,2.1632e-33,3.5353e-17,1.0321e-22,1.2092e-20,7.9429e-20,2.2986e-19,0.57737,0.57731,2.4418e-07,0.57735,9.3733e-07
1.8305e-38,3.8591e-38,2.8952e-37,1.0502e-36,2.2077e-36,8.2013e-37,0,1.3328e-33,0,2.1771e-17,0,3.3859e-21,0,2.785e-17,0,0.57734,0.57735,0.57734,8.5503e-07,1.6089e-06
3.932e-26,4.6475e-26,1.6112e-25,1.6029e-25,6.1545e-25,7.1101e-25,8.0916e-24,1.4438e-20,1.8441e-17,0,3.7611e-19,0,0,4.8255e-20,1.9649e-17,0.44013,0.89797,3.0634e-08,5.0185e-08,1.0455e-05
2.005e-39,3.8473e-39,8.2305e-38,3.5188e-37,1.2361e-36,2.5993e-38,0,3.3524e-33,0,0,5.4762e-17,9.3506e-19,0,1.0384e-21,0,0.89448,3.3002e-06,1.4409e-06,6.9388e-05,0.44717
1.1678e-27,6.0851e-28,3.8321e-26,1.5331e-25,2.545e-23,1.277e-23,1.181e-23,3.192e-21,7.3549e-20,3.9205e-17,3.8227e-17,0,3.1253e-25,1.3436e-22,2.1622e-18,0.89497,2.5951e-06,7.9508e-06,0.44609,0
5.3995e-38,8.1063e-38,4.9515e-37,2.8633e-36,7.9898e-36,1.3903e-19,7.4981e-20,1.2393e-18,1.3524e-18,2.8726e-19,5.46e-17,0,8.8145e-19,3.1549e-18,1.2849e-18,0.89406,0,0.44896,8.967e-07,4.3716e-06
1.8503e-21,9.0487e-22,9.3239e-21,3.8403e-20,8.207e-20,8.9111e-21,1.1632e-22,0.0014987,0,0.00025448,1.1997e-08,7.0291e-05,7.4161e-05,0.029286,0,0.88953,0.4578,0.00011265,1.5964e-05,0
4.7862e-51,6.7558e-51,1.6894e-50,4.3359e-50,1.8622e-49,1.2272e-49,3.9524e-51,8.7261e-52,3.7314e-33,8.1618e-35,3.2122e-34,2.8834e-35,4.7352e-36,1.5367e-34,6.1234e-17,1,4.9965e-07,0,4.4725e-08,7.8008e-08
7.0325e-24,1.0503e-23,3.1741e-23,1.2635e-22,6.1508e-21,4.9984e-21,9.9463e-23,6.2379e-22,2.0929e-20,2.9097e-21,0,9.5447e-19,2.7424e-17,0,0.44817,0,9.4763e-06,0,2.4374e-07,0.89397
5.345e-36,5.6618e-36,6.5694e-35,1.6886e-34,6.1407e-35,3.4766e-35,1.1181e-35,3.1947e-18,1.1853e-19,3.4724e-17,5.5591e-18,0,1.3042e-18,1.0708e-18,0.57737,8.68e-07,1.9693e-06,6.9695e-08,0.57731,0.57737
5.0452e-53,5.2504e-53,3.7289e-51,1.0566e-50,8.6701e-50,3.4671e-50,4.0996e-50,1.6783e-33,2.7415e-17,0,2.8236e-20,5.4944e-26,0,0,0.44774,0,0,9.2309e-07,0.89447,5.1893e-05
3.5065e-43,7.2325e-43,4.5863e-42,1.6691e-41,9.4925e-41,6.1797e-40,1.296e-40,1.0442e-23,5.4495e-23,6.3859e-22,7.4239e-24,8.1982e-21,3.5351e-17,7.6623e-24,0.57737,1.0729e-07,0,0.57729,5.7657e-10,0.57739
9.4897e-55,1.5806e-54,3.0518e-38,5.0453e-38,4.0462e-37,1.9207e-36,6.1565e-37,0,7.3886e-35,1.2071e-18,4.0678e-20,0,1.3161e-21,3.533e-17,0.57739,5.2322e-10,5.5591e-10,0.57735,0.57733,1.6363e-05
2.9359e-21,2.5229e-21,5.0896e-21,1.5732e-20,2.0113e-19,2.0216e-19,1.3142e-19,2.3407e-21,0,6.4408e-19,2.6701e-17,5.6005e-19,2.4486e-19,0,0.43636,0,1.7513e-09,0.89981,0,9.7572e-07
4.4529e-37,4.5413e-37,1.595e-36,4.3939e-36,1.1055e-35,2.882e-35,1.5345e-35,1.6139e-34,5.4862e-35,3.5397e-34,1.0203e-36,1.2759e-36,6.4415e-18,3.476e-17,0.57741,0,0.57727,4.4806e-08,0,0.5774
4.5623e-38,4.7149e-38,3.0605e-37,1.1657e-36,4.3233e-36,6.8072e-35,2.729e-35,7.4664e-39,4.7185e-36,2.1633e-33,3.5351e-17,1.0305e-22,5.0052e-19,8.143e-20,0.5774,0,0.57732,0,0.57736,3.6716e-08
2.5863e-35,4.2041e-35,3.4081e-36,1.544e-34,2.0676e-33,5.5715e-34,3.6234e-35,2.27e-34,0,0,3.535e-17,3.7808e-19,0,3.6476e-23,0.57736,0,0.57736,0.57736,2.8073e-06,0
7.9739e-10,7.5736e-10,2.1359e-09,3.1089e-11,2.5708e-08,4.8149e-09,7.8456e-09,3.2614e-07,0.00075636,0.00069464,0.00098433,3.4258e-07,5.8912e-09,0.0012314,0.44525,0,0.89544,0.00066351,5.2832e-06,8.3618e-06
3.4195e-26,4.9467e-26,2.1579e-24,1.0006e-23,3.087e-24,2.8134e-24,9.2094e-23,9.8811e-22,2.0556e-20,3.3853e-22,3.1092e-24,1.0487e-18,1.5144e-20,3.5333e-17,0.57736,0.57734,1.3694e-07,5.3349e-07,3.9589e-08,0.57735
7.226e-25,8.3261e-25,3.6903e-24,2.2692e-23,1.6431e-21,3.631e-22,2.0156e-21,2.5275e-22,1.431e-19,1.8311e-17,1.7912e-17,2.4354e-17,6.4245e-19,3.7318e-25,0.57735,0.57738,0,4.2138e-07,0.57734,0
1.4174e-19,2.1742e-19,7.7149e-20,0,1.1638e-18,7.8656e-19,5.2551e-19,3.4397e-17,1.8402e-18,0,0,9.112e-20,7.7534e-18,7.119e-19,0.57744,0.57754,1.5926e-08,0.57706,2.1799e-11,0
1.447e-55,1.0096e-55,2.8998e-39,1.7479e-37,1.859e-36,1.373e-37,2.3974e-37,4.8172e-37,9.561e-38,1.5067e-33,1.0562e-39,1.7372e-37,1.5542e-33,3.535e-17,0.57738,0.57736,0.5773,1.0988e-06,2.2761e-07,1.3836e-07
7.0006e-21,1.0709e-20,1.8636e-19,3.3523e-19,1.1918e-19,7.8686e-21,1.5093e-19,5.6321e-20,0,1.9056e-17,1.256e-18,1.9502e-17,0,0,0.44584,0.89532,2.8868e-05,3.6317e-11,0,0
6.9493e-22,1.3728e-21,3.8638e-21,2.6226e-20,0,2.0108e-20,5.3849e-17,0,6.7781e-18,0,0,1.945e-21,6.9932e-23,6.5522e-18,0.89331,2.0619e-06,2.7169e-05,0,5.2483e-06,0.44954
1.5891e-23,1.2574e-23,1.3331e-22,4.8899e-22,1.2887e-21,2.1134e-20,9.5068e-21,0,3.2654e-21,6.9353e-19,4.3119e-17,4.8345e-18,3.3451e-17,5.7332e-21,0.89486,0,0,0,0.44663,0
2.3981e-22,2.5203e-22,7.4468e-22,2.7853e-21,3.4354e-20,8.1591e-21,1.9987e-21,4.6534e-19,4.0288e-17,3.8824e-18,3.3875e-17,8.5393e-19,0,8.3133e-19,0.86226,2.7984e-05,0.00050571,0.50658,0,0.00549
2.2899e-22,5.4489e-22,3.2166e-20,1.1978e-19,2.1644e-21,2.324e-22,1.4351e-18,1.0629e-20,0,4.2181e-17,1.7832e-19,3.3999e-17,2.6762e-20,4.4514e-20,0.88513,6.7447e-07,0.46726,2.627e-07,1.1432e-05,2.8305e-06
0.00023125,0.00033317,0.00074988,0.0034143,0.00097201,5.582e-05,4.5435e-07,5.2536e-05,0.0016215,0.0036195,0.0053816,0.0008029,1.7526e-05,1.3686e-07,0.88213,0.47128,1.9819e-06,3.082e-05,1.8461e-06,0.00050685
6.0027e-37,1.0872e-36,1.5598e-36,4.9177e-36,6.3617e-35,6.394e-35,4.1564e-35,7.4032e-37,0,2.0371e-34,3.7415e-33,7.8593e-35,6.1227e-17,0,1,0,3.1686e-08,0,0,9.757e-07
2.8397e-51,4.5171e-51,1.295e-50,5.1161e-50,4.5895e-50,1.6892e-50,7.2621e-50,0,1.6751e-33,2.7356e-17,0,1.1811e-18,1.2246e-20,0.44714,6.4488e-05,0.00013064,0,0,0,0.89638
4.1226e-19,3.8766e-19,9.6229e-19,3.4448e-18,2.1751e-18,2.1746e-19,6.9256e-20,7.173e-19,3.5025e-17,2.0758e-18,8.4081e-20,0,0,0.57727,3.9783e-10,3.8525e-06,2.5882e-10,2.0595e-08,0.57736,0.57735
4.2591e-34,4.6305e-34,8.713e-34,3.1456e-35,1.7601e-17,3.4767e-21,2.5764e-20,0,0,7.573e-21,2.1086e-17,0,0,0.44896,0.00033968,0,0.00022574,2.9302e-05,0.89396,0
3.1797e-26,3.1072e-26,7.4977e-26,3.01e-25,1.4539e-24,1.4162e-22,2.0365e-23,4.473e-19,2.3769e-18,2.3724e-18,1.6679e-26,0,3.5188e-17,0.5773,1.2999e-07,0,1.0431e-07,0.5773,0,0.5774
2.3157e-18,2.5258e-18,9.3668e-18,2.0471e-17,2.6404e-17,0,5.0059e-18,1.2148e-18,4.8452e-21,0,7.3414e-21,6.7435e-23,0,0.5773,0,0,6.2091e-08,0.57746,0.57737,0
3.1304e-25,3.8379e-25,1.0035e-24,4.3324e-24,1.146e-23,0,0,2.5077e-25,2.0526e-25,1.2363e-19,2.7018e-17,0,1.1123e-23,0.44122,0,0,0,0.89758,4.0813e-05,2.6829e-08
3.4039e-56,2.6443e-56,3.5255e-53,7.5791e-54,1.2725e-49,3.594e-50,0,2.3701e-51,2.1646e-33,3.535e-17,0,1.6013e-19,0,0.57729,3.7242e-07,1.2077e-08,0.57732,1.5917e-06,0,0.57739
8.2539e-55,1.5914e-54,3.2448e-54,1.0533e-54,1.4564e-52,1.2731e-50,2.0808e-34,4.4549e-35,1.4966e-33,1.549e-33,3.5348e-17,1.0003e-24,5.4338e-19,0.5773,3.0269e-08,1.5973e-08,0.57736,3.3129e-06,0.57733,9.2863e-07
1.2635e-20,1.4418e-20,4.0548e-20,8.3529e-21,9.1426e-20,3.513e-20,8.6639e-19,8.6595e-20,9.8887e-22,0,3.5344e-17,0,7.0788e-25,0.57736,1.2995e-07,3.2395e-09,0.57734,0.57729,0,9.2278e-07
5.6941e-37,6.3995e-37,2.6601e-35,8.1031e-35,1.279e-35,5.7615e-35,1.6611e-33,5.7582e-35,2.7211e-17,1.2159e-18,1.5171e-19,4.5168e-18,7.3553e-21,0.45089,1.7075e-07,1.005e-08,0.89257,0,0,5.3197e-07
4.5384e-22,6.55e-22,1.503e-21,7.8741e-21,2.404e-21,1.5068e-21,7.1158e-20,1.3088e-20,1.5095e-18,2.4859e-20,3.8977e-21,3.5317e-17,5.104e-19,0.5773,0,0.57735,1.734e-08,2.8554e-08,7.8229e-08,0.57735
1.6505e-38,2.3589e-38,1.1178e-37,5.3802e-37,1.3708e-36,1.943e-37,1.0766e-37,2.1641e-33,3.5351e-17,9.9461e-22,0,0,5.5586e-22,0.57729,1.0639e-08,0.57735,2.6415e-06,1.5401e-10,0.57734,0
4.8114e-40,7.2863e-40,2.8764e-39,4.8984e-23,1.1631e-22,1.3723e-22,4.4225e-23,5.6532e-20,0,3.5252e-17,2.6792e-18,0,2.7e-20,0.57733,2.5195e-08,0.57736,0,0.57737,2.1786e-10,4.954e-07
6.8541e-19,1.0174e-18,8.3366e-18,3.0236e-17,1.12e-18,4.0764e-18,1.531e-17,1.7244e-18,0,6.8741e-19,1.1463e-23,0,0,0.5773,0,0.57736,0.57733,1.5607e-10,2.709e-07,0
2.8351e-21,6.3631e-21,1.7545e-20,1.1734e-19,9.2662e-19,2.4676e-19,4.1289e-20,2.1009e-19,6.5042e-20,2.8318e-21,0,2.7401e-17,0,0.44774,1.0914e-09,0.90149,0,0,1.1363e-05,0.0005677
1.0555e-34,1.2913e-34,1.4732e-33,5.5614e-34,1.4358e-33,1.1648e-34,1.0537e-35,2.6999e-34,3.5308e-17,1.1139e-18,1.3641e-21,4.8611e-19,1.3204e-18,0.57732,0.57728,5.4535e-06,7.2615e-10,4.1209e-06,0,0.5774
7.6257e-24,7.1052e-24,2.1995e-23,5.1818e-23,1.9369e-22,4.7772e-20,6.4425e-21,6.017e-19,8.2513e-23,6.225e-19,7.797e-23,0,3.5345e-17,0.57738,0.5773,0,0,1.3707e-05,0.57733,0
3.7178e-69,3.9782e-69,7.5307e-69,2.611e-68,3.8351e-69,5.3018e-67,8.6772e-51,1.4175e-34,1.2674e-36,2.1601e-33,3.5354e-17,0,5.5142e-23,0.57733,0.57733,2.5682e-08,2.2782e-07,0.57734,0,9.0542e-08
3.7079e-37,6.6475e-37,7.6164e-36,3.3134e-35,1.132e-35,1.5684e-36,6.352e-35,1.9711e-33,8.8232e-34,0,1.2261e-34,3.0594e-36,3.5351e-17,0.57731,0.57752,0,0.5775,0,0,4.6426e-06
2.4514e-21,3.629e-21,1.094e-19,1.4874e-19,2.5411e-20,1.13e-19,1.7679e-18,4.4819e-19,3.6316e-19,0,1.3146e-19,5.3351e-26,3.5303e-17,0.57734,0.57734,0.5773,5.2312e-07,3.9167e-07,1.6219e-08,3.3979e-08
4.902e-35,5.652e-35,2.7731e-34,3.7849e-35,1.3684e-33,4.6387e-34,5.0082e-35,3.1127e-34,7.4878e-34,2.7527e-17,9.4187e-21,0,0,0.44953,0.89555,0,2.6237e-05,5.3029e-05,0,0
4.6612e-21,3.2907e-21,1.4147e-20,4.2506e-20,3.6795e-20,4.6685e-20,0,9.0751e-19,1.585e-19,6.94e-27,0,5.4935e-17,1.7004e-19,0.8972,4.0665e-05,3.7485e-06,4.9231e-05,5.4247e-06,1.781e-05,0.44176
6.8847e-26,8.1979e-26,1.7975e-23,6.792e-23,2.7365e-22,2.2339e-22,0,2.1895e-20,0,1.2977e-21,2.2392e-21,2.3142e-19,0.0037963,0.89572,7.4881e-07,1.4532e-07,1.7025e-06,3.1812e-06,0.44631,1.2154e-09
1.2517e-21,1.5107e-21,9.5073e-21,3.7088e-20,8.4918e-22,3.1772e-23,0,6.5792e-18,5.3953e-17,0,0,0,5.1287e-21,0.88759,3.7848e-06,1.6014e-11,2.0198e-06,0.46951,6.3678e-05,0
1.419e-50,2.6872e-50,1.4674e-50,6.0599e-50,1.5849e-49,6.9976e-50,1.3974e-50,6.0226e-50,3.2186e-33,5.2564e-17,3.7991e-18,6.2461e-19,7.1145e-19,0.86076,0,1.1835e-05,0.51211,0,9.156e-06,5.1178e-06
1.8878e-22,1.2395e-22,2.7377e-21,1.2714e-20,9.8542e-20,4.3563e-18,0,5.2979e-17,2.4919e-18,0,3.4346e-23,4.6688e-23,4.5813e-19,0.86928,0,0.49416,1.8826e-05,9.4937e-06,1.3255e-08,7.7843e-05
3.2949e-36,3.7917e-36,9.7105e-36,4.7949e-35,4.7718e-36,2.2726e-33,1.9268e-33,5.1319e-34,1.3945e-33,5.4424e-17,1.2649e-18,2.753e-20,0,0.88899,0.46117,0,1.9198e-05,0,0,5.7215e-06
8.4597e-18,1.2656e-17,3.6059e-17,3.6839e-18,4.4566e-19,5.1625e-18,0,4.6542e-17,0,0,6.4115e-19,6.0056e-20,0,1,0,0,3.6524e-08,0,0,2.6361e-08
4.8947e-21,6.139e-21,8.5087e-20,3.2214e-19,1.1829e-19,6.9759e-20,5.1628e-19,5.1457e-18,2.6101e-17,3.3653e-18,2.486e-18,7.6806e-24,0.43992,2.855e-08,5.3127e-08,2.9759e-05,0.0001004,5.6142e-05,1.1185e-05,0.89867
1.8518e-21,2.4996e-21,5.3502e-21,2.1088e-20,1.299e-20,8.0563e-22,4.0396e-22,4.3317e-21,2.1151e-19,2.1242e-19,0,3.5349e-17,0.57727,2.1674e-06,4.4165e-07,0,2.5882e-10,3.2103e-06,0.57734,0.5774
1.7428e-21,1.8217e-21,1.1669e-20,4.0104e-20,1.2833e-19,0,2.7382e-17,3.4403e-19,3.0765e-25,1.0648e-20,5.9106e-21,2.5447e-22,0.44745,0,2.0545e-06,0,1.1362e-05,0,0.89437,9.5932e-07
6.6898e-35,9.487e-35,2.191e-34,5.4646e-34,1.3875e-33,2.4721e-17,2.5026e-18,1.4446e-18,0,2.5075e-17,0,1.1058e-19,0.57733,5.7512e-07,1.9323e-07,0,1.0432e-07,0.57732,2.111e-06,0.57738
1.0559e-35,1.2476e-35,2.6983e-19,1.4635e-19,1.2141e-18,4.8848e-20,1.0922e-18,0,3.5301e-17,9.5135e-19,4.9104e-21,2.3926e-23,0.57733,0,0,3.0308e-08,3.9954e-07,0.57732,0.57735,2.4771e-06
4.1814e-24,5.0711e-24,4.6857e-23,6.3783e-23,2.1174e-22,1.4124e-22,2.2256e-23,6.1349e-24,0,2.7274e-17,0,2.8972e-18,0.44791,4.6538e-05,1.4621e-06,2.1239e-07,6.4655e-07,0.89837,0,2.3283e-05
3.4523e-22,3.471e-22,7.2587e-21,3.1203e-21,7.1389e-21,4.5888e-22,1.9161e-21,5.0318e-20,2.2005e-17,0,8.1984e-21,2.7677e-17,0.57742,9.1406e-06,0,0,0.57723,4.4834e-08,0,0.57737
3.3451e-26,3.5748e-26,1.0061e-24,4.0934e-24,3.2975e-23,2.0832e-23,2.9507e-21,3.8215e-20,3.6562e-19,1.9127e-17,1.6306e-17,2.4855e-17,0.57728,2.8646e-08,2.1217e-06,2.705e-05,0.57733,0,0.57741,1.8194e-07
1.2074e-18,2.2938e-18,5.5051e-18,1.0486e-17,9.4369e-18,1.3363e-17,2.3455e-18,2.8085e-17,1.6111e-18,5.8891e-18,1.468e-18,0,0.57757,2.188e-06,3.1319e-06,3.0867e-09,0.57711,0.57733,2.9462e-06,1.6588e-07
4.3414e-39,5.9387e-39,6.376e-38,2.1587e-38,3.6003e-36,6.8019e-37,5.995e-20,3.0721e-19,1.4886e-18,0.024842,0.0048186,0,0.4767,0,0.0024792,9.721e-05,0.87935,7.6667e-05,0.0004087,0
4.9848e-36,3.6223e-36,1.7486e-35,2.9704e-36,1.8583e-34,1.3733e-34,2.9597e-35,3.8232e-18,0,2.9661e-19,4.8548e-21,3.5144e-17,0.57731,0,0,0.57734,2.0763e-11,3.1621e-08,1.9638e-05,0.57738
3.7005e-22,5.5736e-22,2.1798e-21,2.3617e-21,8.2318e-22,2.5048e-21,1.2602e-21,1.1206e-21,1.029e-18,2.6229e-17,0,2.3682e-17,0.57734,0,3.6807e-08,0.57735,1.6508e-05,7.1257e-07,0.57731,7.1731e-07
4.1462e-41,6.279e-41,2.4788e-40,2.6043e-40,9.5616e-40,1.1135e-39,3.5886e-40,2.1643e-33,0,3.5353e-17,0,0,0.57735,0,3.1482e-09,0.57736,0,0.57737,2.1786e-10,7.0986e-07
7.5775e-22,7.804e-22,3.0153e-21,2.9397e-20,2.4699e-23,2.1214e-18,4.9001e-19,0,3.5286e-17,1.5595e-19,1.1172e-23,0,0.57735,2.2547e-06,5.6672e-09,0.57741,0.57729,0,7.7468e-07,0
1.7177e-22,1.909e-22,9.9822e-22,5.0445e-19,4.5292e-20,4.1614e-19,2.6951e-17,1.6036e-19,0,0,6.5906e-23,0,0.4405,0.00011078,7.5748e-05,0.89828,0,4.8049e-06,4.4658e-07,0
9.1918e-21,2.1878e-20,6.7332e-20,2.6401e-20,3.611e-20,7.0141e-20,1.0002e-20,2.7189e-18,3.5249e-17,4.2341e-20,0,1.0953e-20,0.57736,0,0.57732,0,0,1.6564e-06,0,0.57739
8.5224e-54,9.9474e-54,3.637e-53,6.1843e-53,1.193e-36,3.4469e-37,1.7042e-34,1.0278e-35,2.1294e-33,0,3.4882e-34,3.5351e-17,0.57728,0,0.5774,1.0301e-11,0,2.0697e-06,0.57733,6.1232e-07
8.5161e-52,6.1292e-52,3.4152e-51,1.1266e-50,4.6473e-51,9.051e-52,4.7865e-51,1.3176e-49,2.1639e-33,0,3.5339e-17,7.9474e-19,0.57725,0,0.57743,0,1.9931e-06,0.57734,3.2391e-10,0
4.7678e-25,6.3896e-25,1.5073e-24,6.0515e-24,1.215e-22,8.4227e-23,3.6223e-21,5.9988e-19,4.8465e-18,6.2131e-19,0,3.5003e-17,0.57723,1.4155e-06,0.57743,0,0.57741,5.8944e-06,0,5.1017e-06
